Nome,Razão Social,Codigo,Setor,Segmento
FATOR RENDA GALPÃO FDO INV IMOB,FII FATOR GP,FAGL,Fundo de Tijolo,Imóveis Industriais e Logísticos
FATOR RENDA URBANA FDO DE INV IMOB,FII FARU,FARU,Fundo Misto,Indefinido
FATOR VERITA FDO INV IMOB - FII,FII FATOR VE,VRTA,Fundo de Papel,Papéis
FATOR VERITÀ MULTIESTRATÉGIA FDO INV IMOB,FII VRTM,VRTM,Fundo Misto,Misto
FDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO,FII BRASILIO,BMII,Fundo de Tijolo,Lajes Corporativas
FDO DE INV IMOB  CAMPREV SUST PREV DO MUN RESP LIM,FII FIIC,FIIC,Fundo de Tijolo,Imóveis Comerciais - Outros
FDO DE INV IMOB LEBLON REALTY DESENVOLVIMENTO I,FII LEBLON,LRDI,Fundo Misto,Indefinido
FDO DE INV IMOB MAUA CAPITAL MPD DESENV RESID,FII MAUA MPD,MMPD,Fundo Misto,Indefinido
FDO DE INV IMOBILIÁRIO DE CRI INTEGRAL BREI,FII BREI,IBCR,Fundo de Papel,Papéis
FDO DE INV IMOBILIÁRIO DE UNIDADES AUTÔNOMAS II,FII UNID II,IDGR,Fundo Misto,Misto
FDO DE INV IMOBILIÁRIO DE UNIDADES AUTÔNOMAS IV,FII IDUA,IDUA,Fundo de Tijolo,Imóveis Comerciais - Outros
FDO DE INVEST IMOB GUARDIAN MULTIESTRATÉGIA I,FII GUARD MU,GAME,Fundo Misto,Indefinido
FDO DE INVEST IMOB TELLUS RIO BRAVO RENDA LOGISTIC,FII SDI LOG,TRBL,Fundo de Tijolo,Imóveis Industriais e Logísticos
FDO INV IMOB - FII ANHANGUERA EDUCACIONAL,FII ANH EDUC,FAED,Fundo de Tijolo,Educacional
FDO INV IMOB - FII BM BRASCAN LAJES CORPORATIVAS,FII BMBRC LC,BMLC,Fundo de Tijolo,Lajes Corporativas
FDO INV IMOB - FII BTG PACTUAL CORP. OFFICE FUND,FII BC FUND,BRCR,Fundo de Tijolo,Lajes Corporativas
FDO INV IMOB - FII CAMPUS FARIA LIMA,FII CAMPUSFL,FCFL,Fundo de Tijolo,Educacional
FDO INV IMOB - FII CENESP,FII CENESP,CNES,Fundo de Tijolo,Lajes Corporativas
FDO INV IMOB - FII CEO CYRELA COMMERC. PROPERTIES,FII CEO CCP,CEOC,Fundo de Tijolo,Lajes Corporativas
FDO INV IMOB - FII EDIFÍCIO GALERIA,FII GALERIA,EDGA,Fundo de Tijolo,Lajes Corporativas
FDO INV IMOB - FII HOSPITAL DA CRIANÇA,FII CRIANCA,HCRI,Fundo de Tijolo,Hospitalar
FDO INV IMOB - FII HOSPITAL NOSSA SRA DE LOURDES,FII LOURDES,NSLU,Fundo de Tijolo,Hospitalar
FDO INV IMOB - FII HOTEL MAXINVEST,FII HOTEL MX,HTMX,Fundo de Tijolo,Hotéis
FDO INV IMOB - FII MAX RETAIL,FII MAX RET,MAXR,Fundo de Tijolo,Varejo
FDO INV IMOB - FII NOVO HORIZONTE,FII NOVOHORI,NVHO,Fundo de Tijolo,Hospitalar
FDO INV IMOB - FII PARQUE D. PEDRO SHOPPING CENTER,FII D PEDRO,PQDP,Fundo de Tijolo,Shoppings
FDO INV IMOB - FII PATEO BANDEIRANTES,FII PTO BAND,PATB,Fundo de Tijolo,Lajes Corporativas
FDO INV IMOB - FII RBR RENDIMENTO HIGH GRADE,FII RBRHGRAD,RBRR,Fundo de Papel,Papéis
FDO INV IMOB - FII REC RECEBIVEIS IMOBILIARIOS,FII REC RECE,RECR,Fundo de Papel,Papéis
FDO INV IMOB - FII REC RENDA IMOBILIARIA,FII REC REND,RECT,Fundo de Tijolo,Lajes Corporativas
FDO INV IMOB - FII TORRE ALMIRANTE,FII TORRE AL,ALMI,Fundo de Tijolo,Lajes Corporativas
FDO INV IMOB - FII TORRE NORTE,FII TORRE NO,TRNT,Fundo de Tijolo,Lajes Corporativas
FDO INV IMOB - VBI LOGÍSTICO,FII VBI LOG,LVBI,Fundo de Tijolo,Imóveis Industriais e Logísticos
FDO INV IMOB BRASIL PLURAL ABSOLUTO FDO DE FUNDOS,FII ABSOLUTO,BPFF,Fundo de Papel,Fundo de Fundos
FDO INV IMOB BRASIL VAREJO - FII,FII B VAREJO,BVAR,Fundo de Tijolo,Varejo
FDO INV IMOB BTG PACTUAL SHOPPINGS,FII BTG SHOP,BPML,Fundo de Tijolo,Shoppings
FDO INV IMOB BTG PACTUAL TERRAS AGRÍCOLAS,FII BTG TAGR,BTRA,Fundo Misto,Indefinido
FDO INV IMOB CAIXA CARTEIRA IMOBILIÁRIA,FII CAIXA CI,CXCI,Fundo Misto,Indefinido
FDO INV IMOB CAIXA CEDAE,FII CX CEDAE,CXCE,Fundo de Tijolo,Lajes Corporativas
FDO INV IMOB CAIXA SEQ LOGÍSTICA RENDA,FII CX TRX,CXTL,Fundo de Tijolo,Imóveis Industriais e Logísticos
FDO INV IMOB CENTRO TEXTIL INTERNACIONAL,FII C TEXTIL,CTXT,Fundo de Tijolo,Lajes Corporativas
FDO INV IMOB CJ - FII,FII CJ,CJFI,Fundo Misto,Misto
FDO INV IMOB CONTINENTAL SQUARE FARIA LIMA,FII S F LIMA,FLMA,Fundo de Tijolo,Lajes Corporativas
FDO INV IMOB DESENV ESCRITÓRIOS BOUTIQUE RESP LIM,FII EGDB,EGDB,Fundo de Tijolo,Imóveis Comerciais - Outros
FDO INV IMOB EUROPAR,FII EUROPAR,EURO,Fundo de Tijolo,Imóveis Industriais e Logísticos
FDO INV IMOB GRAND PLAZA SHOPPING,FII ABC IMOB,ABCP,Fundo de Tijolo,Shoppings
FDO INV IMOB GREEN TOWERS,FII G TOWERS,GTWR,Fundo de Tijolo,Lajes Corporativas
FDO INV IMOB HOSPITAL UNIMED CAMPINA GRANDE,FII UNIMED C,HUCG,Fundo de Tijolo,Hospitalar
FDO INV IMOB HOSPITAL UNIMED SUL CAPIXABA,FII H UNIMED,HUSC,Fundo de Tijolo,Hospitalar
FDO INV IMOB INDUSTRIAL DO BRASIL,FII INDL BR,FIIB,Fundo de Tijolo,Imóveis Industriais e Logísticos
FDO INV IMOB INFRA REAL ESTATE - FII,FII INFRA RE,FINF,Fundo de Tijolo,Imóveis Industriais e Logísticos
FDO INV IMOB MEMORIAL OFFICE,FII MEMORIAL,FMOF,Fundo de Tijolo,Lajes Corporativas
FDO INV IMOB MV9 - FII,FII MV9,MVFI,Fundo Misto,Misto
FDO INV IMOB OURINVEST LOGÍSTICA,FII OURILOG,OULG,Fundo de Tijolo,Imóveis Industriais e Logísticos
FDO INV IMOB PANAMBY,FII PANAMBY,PABY,Fundo Misto,Fundo de Desenvolvimento
FDO INV IMOB PEDRA NEGRA RENDA IMOB,FII P NEGRA,FPNG,Fundo de Tijolo,Lajes Corporativas
FDO INV IMOB POLO ESTOQUE II - FII,FII POLO II,ESTQ,Fundo Misto,Misto
FDO INV IMOB POLO SHOPPING INDAIATUBA - RESP. LTDA,FII POLO SHO,VPSI,Fundo de Tijolo,Shoppings
FDO INV IMOB PROJETO ÁGUA BRANCA,FII A BRANCA,FPAB,Fundo de Tijolo,Lajes Corporativas
FDO INV IMOB QUINTAS,FII QUINTAS,QNTS,Fundo Misto,Indefinido
FDO INV IMOB RBR CREDITO IMOB ESTRUTURADO,FII RBR PCRI,RBRY,Fundo de Papel,Papéis
FDO INV IMOB RBR PROPERTIES - FII,FII RBR PROP,RBRP,Fundo de Tijolo,Lajes Corporativas
FDO INV IMOB RIO BRAVO RENDA CORPORATIVA,FII RIOB RC,RCRB,Fundo de Tijolo,Lajes Corporativas
FDO INV IMOB RIO BRAVO RENDA EDUCACIONAL - FII,FII RIOB ED,RBED,Fundo de Tijolo,Educacional
FDO INV IMOB RIO BRAVO RENDA VAREJO - FII,FII RIOB VA,RBVA,Fundo de Tijolo,Varejo
FDO INV IMOB RIO NEGRO - FII,FII RIONEGRO,RNGO,Fundo de Tijolo,Lajes Corporativas
FDO INV IMOB SC 401,FII SC 401,FISC,Fundo de Tijolo,Lajes Corporativas
FDO INV IMOB SCP,FII SCP,SCPF,Fundo de Tijolo,Shoppings
FDO INV IMOB SHOPPING PÁTIO HIGIENÓPOLIS,FII HIGIENOP,SHPH,Fundo de Tijolo,Shoppings
FDO INV IMOB TG ATIVO REAL,FII TG ATIVO,TGAR,Fundo Misto,Fundo de Desenvolvimento
FDO INV IMOB VBI RENDIMENTOS IMOB I FII,FII BARIGUI,BARI,Fundo de Papel,Papéis
FDO INV IMOB VEREDA - FII,FII VEREDA,VERE,Fundo de Tijolo,Imóveis Industriais e Logísticos
FDO INV IMOB VIA PARQUE SHOPPING - FII,FII V PARQUE,FVPQ,Fundo de Tijolo,Shoppings
FDO INV IMOB VIDA NOVA - FII,FII VIDANOVA,FIVN,Fundo de Tijolo,Shoppings
FDO INV IMOB VOTORANTIM LOGISTICA,FII VOT LOG,VTLT,Fundo de Tijolo,Imóveis Industriais e Logísticos
FDO INV IMOB VOTORANTIM SHOPPING,FII VOT SHOP,VSHO,Fundo de Tijolo,Shoppings
FDO INV. IMOB. PLURAL RECEBIVEIS,FII PLURAL R,PLCR,Fundo de Papel,Papéis
FDO INV. IMOB. PLUS,FII PLUS,VTPL,Fundo de Papel,Papéis
FDO INV. IMOB. REC LOGISTICA,FII REC LOG,RELG,Fundo de Tijolo,Imóveis Industriais e Logísticos
FDO INV. IMOB. VBI CRI,FII VBI CRI,CVBI,Fundo de Papel,Papéis
FDO INV. MAUA CAPITAL RECEBIVEIS IMOB. - FII,FII MAUA,MCCI,Fundo de Papel,Papéis
FDO. INV. IMOB. A - TOWN,FII A TOWN,ATWN,Fundo Misto,Indefinido
FDO. INV. IMOB. BTG PACTUAL AGRO LOGÍSTICA,FII BTG AGRO,BTAL,Fundo de Tijolo,Imóveis Industriais e Logísticos
FDO. INV. IMOB. CAIXA IMÓVEIS CORPORATIVOS,FII CEF CORP,CXCO,Fundo de Tijolo,Lajes Corporativas
FDO. INV. IMOB. HOUSI,FII HOUSI,HOSI,Fundo de Tijolo,Imóveis Residenciais
FDO. INV. IMOB. MOGNO HOTEIS,FII MOGNO HT,MGHT,Fundo de Tijolo,Hotéis
FDO. INV. IMOB. VBI PRIME PROPERTIES,FII VBI PRI,PVBI,Fundo de Tijolo,Lajes Corporativas
FDO. INVEST. IMOB. DEVANT FOF IMOBILIÁRIOS,FII DEVA FOF,DVFF,Fundo de Papel,Fundo de Fundos
FDO. INVEST. IMOB. RB CAPITAL I FUNDO DE FUNDOS,FII RB CFOF,RFOF,Fundo de Papel,Fundo de Fundos
FDO. INVEST. IMOB. VOTORANTIM PATRIMONIAL V,FII VOTP V,VTPA,Fundo de Papel,Fundo de Fundos
FDO. INVEST. IMOB. VOTORANTIM PATRIMONIAL XII,FII VOTP XII,VTXI,Fundo Misto,Misto
FII - FII BTG PACTUAL FUNDO DE FUNDOS RESPONS LTDA,FII BC FFII,BCFF,Fundo de Papel,Fundo de Fundos
FII - FII NCH BRASIL RECEBÍVEIS IMOBILIÁRIOS,FII NCH BR,NCHB,Fundo de Papel,Papéis
FII BTG PACTUAL CRÉDITO IMOBILIÁRIO,FII BTG CRI,BTCI,Fundo de Papel,Papéis
FII HIRE RESIDENCIAL I - FDO DE INV IMOB,FII HIRE RES,HRES,Fundo de Tijolo,Imóveis Residenciais
FII INTERMEDIÁRIO NAVI TOT,INTERMED NT,N4V1,Fundo de Papel,Fundo de Fundos
FII INTERMEDIÁRIO NAVI TOT,INTERMED NT,N4V1,Fundo de Papel,Fundo de Fundos
FII IRIDIUM RECEBÍVEIS IMOBILIÁRIOS,FII IRIDIUM,IRDM,Fundo de Papel,Papéis
 FLORIANO FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII FLNR,FLNR,Fundo de Papel,Fundo de Fundos
FOF JHSF CAPITAL INSTITUCIONAL - FII,FII JCIN,JCIN,Fundo de Papel,Fundo de Fundos
FRAM CAPITAL HELMER MULTI RENDA PREF FDO INV IMOB,FII HLMB,HLMB,Fundo Misto,Misto
FRAM CAPITAL SBCLOG FDO. INV. IMOB.,FII SBCLOG,SBCL,Fundo de Tijolo,Imóveis Industriais e Logísticos
FRONTEIRA MULTI FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII FRONT,FRHY,Fundo Misto,Indefinido
FUND. DE INVEST. IMOBILIÁRIO GUARDIAN REAL ESTATE,FII GUARDIAN,GARE,Fundo de Tijolo,Imóveis Industriais e Logísticos
